timestamp\y, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, Net X Velocity, Net Y Velocity
0.0000, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0.030861, -0.012221
10.1000, 64, 11, 11, 19, 13, 19, 14, 19, 14, 15, 25, 29, 8, 18, 13, 9, 14, 8, 11, 66, 0.001051, -0.010861
20.0000, 117, 7, 12, 7, 11, 9, 11, 10, 9, 12, 13, 9, 11, 3, 15, 9, 8, 6, 5, 116, 0.001452, -0.005536
30.0000, 140, 8, 1, 10, 7, 13, 9, 8, 2, 8, 2, 8, 7, 9, 9, 4, 13, 2, 5, 135, 0.000339, -0.000741
40.0000, 155, 6, 5, 6, 10, 6, 2, 3, 8, 4, 5, 5, 5, 2, 4, 6, 8, 9, 6, 145, 0.000034, 0.000428
50.0000, 165, 4, 7, 4, 6, 6, 1, 2, 6, 6, 5, 2, 2, 2, 3, 5, 4, 6, 5, 159, 0.000104, -0.000119
60.0000, 172, 6, 4, 1, 6, 2, 3, 2, 8, 3, 3, 4, 0, 3, 1, 2, 2, 8, 2, 168, 0.000158, -0.000134
70.0000, 180, 2, 3, 1, 3, 4, 3, 7, 2, 1, 3, 2, 4, 0, 0, 4, 1, 2, 5, 173, 0.000045, -0.000011
80.1000, 184, 1, 1, 2, 4, 2, 7, 3, 1, 1, 2, 3, 1, 1, 2, 1, 1, 4, 1, 178, -0.000066, -0.000177
90.1000, 184, 2, 1, 4, 3, 5, 3, 0, 3, 1, 3, 1, 1, 0, 1, 3, 1, 2, 3, 179, -0.000066, -0.000737
100.1000, 185, 3, 3, 4, 3, 1, 3, 0, 3, 1, 4, 0, 1, 0, 0, 1, 3, 2, 2, 181, -0.000066, -0.001386
