timestamp\y, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, Net X Velocity, Net Y Velocity
0.0000, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0.024258, -0.000815
10.1000, 70, 11, 8, 7, 21, 5, 21, 10, 15, 21, 26, 17, 17, 19, 20, 14, 11, 20, 5, 62, -0.002602, 0.017144
20.0000, 106, 13, 9, 11, 8, 13, 7, 13, 6, 6, 15, 11, 12, 8, 10, 11, 10, 14, 4, 113, 0.002239, -0.020862
30.0000, 143, 10, 4, 5, 4, 3, 9, 6, 5, 12, 7, 5, 6, 9, 4, 6, 8, 8, 7, 139, 0.000541, -0.002851
40.0000, 159, 4, 3, 4, 4, 4, 3, 8, 6, 4, 3, 7, 6, 8, 3, 5, 6, 3, 5, 155, 0.000218, -0.001436
50.0000, 168, 2, 1, 2, 5, 5, 6, 2, 4, 5, 2, 8, 5, 4, 4, 2, 4, 5, 2, 164, 0.000238, 0.000842
