timestamp\y, 1, 2, 3, 4, 5, Net X Velocity, Net Y Velocity
0.0000, 5, 5, 5, 5, 0, -0.257394, -0.146607
0.1000, 5, 5, 5, 5, 0, -0.194420, 0.154955
0.2000, 5, 5, 5, 5, 0, -0.230583, 0.278115
0.3000, 5, 5, 5, 5, 0, -0.352776, 0.354630
0.4000, 5, 5, 5, 5, 0, -0.391331, 0.420434
0.5000, 5, 5, 3, 4, 3, -0.436477, 0.439263
0.6000, 5, 5, 3, 2, 5, -0.558567, 0.328418
0.7000, 6, 4, 3, 2, 5, -0.624418, 0.243781
0.8000, 6, 4, 3, 2, 5, -0.589490, 0.213123
0.9000, 6, 4, 3, 2, 5, -0.623732, 0.301303
1.0000, 6, 4, 2, 3, 5, -0.605681, 0.337762
1.1000, 6, 4, 2, 3, 5, -0.620725, 0.291816
1.2000, 5, 5, 2, 3, 5, -0.635608, 0.452943
1.3000, 5, 5, 1, 4, 5, -0.540193, 0.528042
1.4000, 5, 5, 1, 4, 5, -0.492976, 0.621769
1.5000, 5, 5, 0, 5, 5, -0.420705, 0.682595
1.6000, 4, 6, 0, 5, 5, -0.427153, 0.697060
1.7000, 3, 7, 0, 5, 5, -0.344304, 0.665554
1.8000, 2, 8, 0, 4, 6, -0.271053, 0.686423
1.9000, 0, 8, 2, 4, 6, -0.143388, 0.699604
2.0000, 0, 7, 3, 4, 6, -0.078142, 0.678584
2.1000, 0, 6, 4, 3, 7, -0.139729, 0.656819
2.2000, 0, 6, 4, 3, 7, -0.130856, 0.568180
2.3000, 0, 6, 4, 3, 7, 0.005557, 0.678649
2.4000, 0, 6, 4, 2, 8, 0.045493, 0.690938
2.5000, 0, 5, 5, 1, 9, 0.101184, 0.683894
2.6000, 0, 5, 5, 0, 10, 0.168877, 0.719952
2.7000, 0, 4, 6, 0, 10, 0.170460, 0.590269
2.8000, 0, 3, 7, 0, 10, 0.135267, 0.611990
2.9000, 0, 2, 8, 0, 10, 0.270292, 0.478580
3.0000, 0, 1, 7, 2, 10, 0.373620, 0.512913
3.1000, 0, 2, 4, 4, 10, 0.335125, 0.401330
3.2000, 0, 2, 4, 4, 10, 0.428624, 0.453773
3.3000, 0, 1, 5, 4, 10, 0.455101, 0.331837
3.4000, 0, 2, 4, 4, 10, 0.445045, 0.283877
3.5000, 0, 2, 4, 4, 10, 0.445605, 0.364245
3.6000, 0, 2, 4, 4, 10, 0.513685, 0.246546
3.7000, 0, 2, 3, 5, 10, 0.578869, 0.208889
3.8000, 0, 2, 3, 5, 10, 0.660386, 0.139337
3.9000, 0, 2, 2, 6, 10, 0.752086, 0.127594
4.0000, 0, 2, 2, 6, 10, 0.754305, 0.008137
4.1000, 1, 1, 2, 6, 10, 0.787244, 0.032534
4.2000, 1, 1, 2, 6, 10, 0.752473, 0.003671
4.3000, 1, 1, 2, 6, 10, 0.777021, -0.159364
4.4000, 1, 1, 2, 6, 10, 0.725652, -0.223712
4.5000, 1, 1, 2, 6, 10, 0.783125, -0.240555
4.6000, 2, 0, 2, 6, 10, 0.701241, -0.392866
4.7000, 2, 0, 3, 5, 10, 0.645454, -0.580357
4.8000, 2, 0, 4, 4, 10, 0.627019, -0.515850
4.9000, 2, 0, 4, 4, 10, 0.719672, -0.416825
5.0000, 2, 0, 4, 4, 10, 0.760275, -0.388512
5.1000, 2, 0, 4, 4, 10, 0.690802, -0.424595
5.2000, 2, 0, 4, 4, 10, 0.694111, -0.408843
5.3000, 2, 0, 4, 6, 8, 0.702083, -0.381505
5.4000, 2, 0, 4, 7, 7, 0.746808, -0.377806
5.5000, 2, 1, 3, 7, 7, 0.746934, -0.479017
5.6000, 2, 1, 3, 8, 6, 0.630998, -0.451546
5.7000, 2, 1, 3, 10, 4, 0.665811, -0.413696
5.8000, 2, 1, 3, 10, 4, 0.690505, -0.420010
5.9000, 2, 1, 3, 10, 4, 0.694055, -0.383555
6.0000, 2, 1, 4, 9, 4, 0.616142, -0.225140
6.1000, 2, 1, 4, 9, 4, 0.680189, -0.157208
6.2000, 2, 1, 4, 9, 4, 0.635893, -0.122304
6.3000, 2, 1, 5, 9, 3, 0.641740, -0.163377
6.4000, 2, 1, 4, 10, 3, 0.583654, -0.114271
6.5000, 2, 1, 6, 8, 3, 0.537964, -0.180288
6.6000, 2, 1, 5, 9, 3, 0.598792, -0.091611
6.7000, 2, 1, 5, 9, 3, 0.570194, -0.058600
6.8000, 2, 1, 6, 8, 3, 0.544156, -0.014545
6.9000, 2, 1, 6, 8, 3, 0.497395, 0.119913
7.0000, 2, 1, 5, 9, 3, 0.409719, 0.251304
7.1000, 2, 1, 5, 8, 4, 0.385191, 0.306439
7.2000, 2, 0, 6, 8, 4, 0.275464, 0.423888
7.3000, 2, 0, 6, 7, 5, 0.282630, 0.481193
7.4000, 2, 0, 6, 6, 6, 0.162499, 0.391790
7.5000, 2, 0, 6, 6, 6, 0.290286, 0.300201
7.6000, 2, 0, 6, 5, 7, 0.237733, 0.278571
7.7000, 2, 0, 6, 4, 8, 0.288925, 0.239381
7.8000, 2, 0, 6, 4, 8, 0.233079, 0.271695
7.9000, 2, 0, 6, 3, 9, 0.145051, 0.403257
8.0000, 2, 0, 4, 5, 9, 0.083590, 0.371748
8.1000, 2, 0, 4, 5, 9, 0.035361, 0.374028
8.2000, 2, 0, 4, 4, 10, -0.088642, 0.184942
