timestamp\y, 1, 2, 3, 4, 5, Net X Velocity, Net Y Velocity
0.0000, 5, 5, 5, 5, 0, 0.297747, -0.038258
0.1000, 5, 5, 5, 5, 0, 0.156151, 0.289116
0.2000, 5, 5, 5, 5, 0, -0.003380, 0.547697
0.3000, 5, 5, 5, 5, 0, -0.046944, 0.789189
0.4000, 5, 5, 5, 5, 0, 0.004191, 0.927628
0.5000, 2, 6, 6, 6, 0, 0.040734, 0.954648
0.6000, 2, 5, 6, 6, 1, 0.061508, 0.968454
0.7000, 2, 4, 6, 6, 2, 0.009021, 0.972148
0.8000, 1, 5, 5, 6, 3, -0.079374, 0.971833
0.9000, 0, 6, 5, 5, 4, 0.004050, 0.962055
1.0000, 0, 5, 5, 6, 4, 0.031987, 0.967112
1.1000, 0, 5, 5, 5, 5, 0.052811, 0.961153
1.2000, 0, 5, 5, 5, 5, 0.076823, 0.960923
1.3000, 0, 5, 5, 5, 5, 0.027880, 0.865699
1.4000, 0, 5, 5, 5, 5, 0.069079, 0.811946
1.5000, 0, 3, 5, 7, 5, 0.214530, 0.754015
1.6000, 0, 3, 4, 6, 7, 0.289109, 0.642889
1.7000, 0, 3, 4, 6, 7, 0.410028, 0.567814
1.8000, 0, 2, 4, 6, 8, 0.408971, 0.448475
1.9000, 0, 3, 3, 5, 9, 0.592868, 0.244979
2.0000, 0, 3, 3, 5, 9, 0.591422, -0.010922
2.1000, 0, 3, 2, 5, 10, 0.713890, -0.099164
2.2000, 0, 3, 3, 4, 10, 0.563545, -0.408953
2.3000, 0, 3, 3, 4, 10, 0.364816, -0.537015
2.4000, 0, 4, 4, 6, 6, 0.469050, -0.707311
2.5000, 0, 4, 5, 5, 6, 0.416166, -0.785424
2.6000, 1, 4, 5, 5, 5, 0.226072, -0.803121
2.7000, 1, 4, 5, 5, 5, 0.261728, -0.909331
2.8000, 1, 4, 5, 5, 5, 0.322184, -0.888505
2.9000, 1, 4, 5, 5, 5, 0.295303, -0.891074
3.0000, 2, 3, 5, 6, 4, 0.279436, -0.647357
3.1000, 3, 2, 5, 9, 1, 0.238179, -0.908758
3.2000, 3, 2, 5, 9, 1, 0.260069, -0.846093
3.3000, 3, 3, 4, 9, 1, 0.147341, -0.872405
3.4000, 3, 3, 5, 8, 1, 0.056244, -0.851184
3.5000, 4, 4, 6, 5, 1, 0.064362, -0.894230
3.6000, 5, 4, 5, 5, 1, -0.041628, -0.855311
3.7000, 5, 5, 4, 5, 1, -0.087145, -0.822588
3.8000, 5, 5, 5, 5, 0, -0.202080, -0.794977
3.9000, 5, 5, 5, 5, 0, -0.354027, -0.726113
4.0000, 5, 5, 6, 4, 0, -0.485897, -0.671537
4.1000, 5, 5, 6, 4, 0, -0.540536, -0.602436
4.2000, 5, 5, 7, 3, 0, -0.693425, -0.491825
4.3000, 5, 5, 7, 3, 0, -0.823900, -0.361183
4.4000, 5, 5, 7, 3, 0, -0.854792, -0.259583
4.5000, 5, 5, 7, 3, 0, -0.823886, -0.176332
4.6000, 5, 6, 7, 2, 0, -0.894492, -0.161346
