timestamp\y, 1, 2, 3, 4, 5, Net X Velocity, Net Y Velocity
0.0000, 5, 5, 5, 5, 0, 0.242451, 0.079924
0.1000, 5, 5, 5, 5, 0, 0.303082, 0.365371
0.2000, 5, 5, 5, 5, 0, 0.476817, 0.562923
0.3000, 5, 5, 5, 5, 0, 0.581073, 0.476775
0.4000, 5, 5, 5, 5, 0, 0.607806, 0.491090
0.5000, 5, 5, 4, 3, 3, 0.654632, 0.467511
0.6000, 5, 5, 3, 4, 3, 0.726906, 0.309239
0.7000, 5, 5, 3, 4, 3, 0.714574, 0.303218
0.8000, 4, 5, 3, 5, 3, 0.659759, 0.259435
0.9000, 4, 5, 3, 4, 4, 0.664395, 0.334815
1.0000, 4, 4, 3, 4, 5, 0.598676, 0.364630
1.1000, 3, 5, 3, 4, 5, 0.580649, 0.398029
1.2000, 3, 5, 3, 4, 5, 0.570356, 0.500317
1.3000, 3, 5, 3, 4, 5, 0.570878, 0.527867
1.4000, 3, 5, 3, 4, 5, 0.595383, 0.508429
1.5000, 3, 5, 2, 5, 5, 0.598349, 0.492215
1.6000, 2, 6, 2, 5, 5, 0.601067, 0.408961
1.7000, 2, 5, 3, 5, 5, 0.545740, 0.341563
1.8000, 3, 4, 3, 5, 5, 0.549500, 0.179435
1.9000, 3, 4, 4, 3, 6, 0.498151, 0.204793
2.0000, 3, 4, 4, 3, 6, 0.317278, 0.153439
2.1000, 2, 5, 3, 5, 5, 0.357932, 0.111379
2.2000, 2, 5, 3, 6, 4, 0.219870, 0.193150
2.3000, 2, 5, 2, 6, 5, 0.329648, 0.130931
2.4000, 2, 5, 2, 7, 4, 0.294268, -0.150371
2.5000, 2, 4, 4, 5, 5, 0.251552, -0.057168
2.6000, 3, 3, 4, 6, 4, 0.218446, -0.271946
2.7000, 2, 4, 4, 6, 4, 0.251289, -0.142386
2.8000, 1, 5, 4, 7, 3, 0.342785, -0.253225
2.9000, 2, 6, 2, 6, 4, 0.268222, -0.140110
3.0000, 2, 6, 2, 7, 3, 0.279545, -0.292141
3.1000, 3, 5, 4, 5, 3, 0.187266, -0.397453
3.2000, 3, 5, 4, 5, 3, 0.080676, -0.417087
3.3000, 3, 5, 4, 5, 3, -0.008393, -0.512921
3.4000, 3, 5, 4, 5, 3, 0.047900, -0.705867
3.5000, 3, 5, 4, 6, 2, 0.096163, -0.681117
3.6000, 3, 5, 5, 4, 3, 0.020729, -0.564126
3.7000, 3, 5, 5, 5, 2, 0.066283, -0.579642
3.8000, 5, 3, 5, 5, 2, -0.106117, -0.393309
3.9000, 6, 3, 4, 5, 2, -0.139845, -0.465968
4.0000, 6, 3, 5, 4, 2, -0.334774, -0.497716
4.1000, 6, 4, 5, 3, 2, -0.484610, -0.377261
4.2000, 6, 5, 4, 3, 2, -0.775086, -0.140626
4.3000, 6, 5, 4, 4, 1, -0.848678, 0.102179
