timestamp\y, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, Net X Velocity, Net Y Velocity
0.0000, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0.018670, -0.042404
10.1000, 67, 10, 13, 10, 16, 9, 19, 18, 18, 19, 24, 20, 20, 15, 20, 13, 17, 10, 5, 57, 0.001034, -0.015576
20.0000, 117, 11, 8, 9, 11, 11, 7, 8, 11, 12, 11, 15, 6, 8, 11, 12, 10, 15, 11, 96, 0.000073, -0.002095
30.0000, 147, 7, 4, 8, 7, 8, 4, 14, 3, 5, 8, 11, 7, 8, 6, 6, 2, 4, 7, 134, -0.000481, -0.011896
40.0000, 161, 5, 6, 5, 5, 8, 4, 8, 2, 5, 6, 6, 11, 2, 7, 6, 3, 0, 4, 146, -0.000481, -0.008643
50.0000, 175, 3, 2, 4, 2, 9, 4, 4, 5, 2, 5, 8, 4, 2, 8, 6, 3, 4, 1, 149, -0.000668, -0.004566
60.0000, 181, 1, 2, 7, 1, 4, 5, 5, 1, 3, 5, 8, 4, 1, 5, 4, 4, 3, 3, 153, -0.000408, -0.000344
70.0000, 185, 2, 1, 5, 3, 2, 5, 3, 3, 3, 1, 7, 5, 3, 4, 2, 2, 3, 4, 157, -0.000229, -0.000657
80.1000, 187, 2, 2, 5, 1, 4, 3, 3, 1, 4, 2, 3, 7, 5, 2, 2, 1, 3, 1, 162, -0.000109, -0.000764
90.1000, 191, 0, 2, 3, 4, 2, 3, 2, 3, 1, 3, 3, 6, 4, 2, 3, 2, 1, 2, 163, -0.000109, 0.000001
100.1000, 191, 1, 4, 4, 1, 3, 0, 4, 2, 1, 1, 5, 6, 2, 4, 1, 2, 3, 0, 165, -0.000109, 0.000001
110.1000, 192, 3, 3, 2, 2, 2, 1, 2, 4, 1, 1, 3, 6, 3, 3, 2, 0, 2, 3, 165, -0.000032, -0.000507
120.1000, 195, 1, 5, 0, 1, 3, 0, 4, 2, 2, 1, 2, 3, 6, 2, 1, 2, 1, 1, 168, 0.000040, -0.000256
130.1000, 196, 1, 4, 0, 2, 2, 0, 5, 1, 3, 0, 3, 3, 1, 6, 0, 1, 3, 0, 169, 0.000040, -0.000581
140.1000, 197, 2, 2, 0, 2, 2, 2, 2, 4, 1, 0, 2, 4, 1, 5, 1, 1, 2, 0, 170, 0.000040, -0.000042
150.1000, 198, 3, 0, 1, 1, 3, 1, 3, 3, 0, 2, 1, 4, 1, 2, 3, 1, 2, 1, 170, 0.000040, -0.000324
160.1000, 199, 2, 1, 0, 2, 2, 1, 5, 1, 0, 3, 0, 4, 1, 2, 2, 1, 2, 2, 170, 0.000040, -0.000153
170.1000, 199, 3, 0, 0, 3, 2, 2, 3, 1, 1, 1, 1, 3, 2, 2, 1, 1, 2, 2, 171, -0.000001, -0.000177
180.1000, 200, 2, 0, 0, 3, 4, 1, 2, 0, 2, 1, 2, 2, 2, 2, 0, 1, 2, 1, 173, 0.000046, -0.000431
190.1000, 201, 1, 0, 1, 2, 4, 2, 1, 1, 1, 1, 1, 3, 2, 2, 0, 1, 2, 0, 174, 0.000046, -0.000383
200.1000, 201, 1, 1, 0, 4, 2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 0, 0, 2, 1, 174, 0.000046, -0.000601
210.1000, 201, 1, 1, 2, 2, 3, 1, 2, 0, 0, 2, 1, 1, 4, 2, 0, 0, 2, 1, 174, 0.000046, -0.000544
220.1000, 202, 1, 1, 3, 0, 3, 1, 2, 0, 1, 1, 1, 1, 5, 1, 0, 1, 1, 0, 175, 0.000046, -0.000544
230.1000, 203, 0, 2, 2, 1, 2, 2, 1, 0, 1, 2, 0, 1, 4, 1, 1, 1, 0, 1, 175, 0.000016, -0.000680
240.1000, 203, 1, 1, 2, 1, 2, 2, 1, 0, 1, 2, 0, 1, 4, 1, 1, 1, 0, 1, 175, 0.000016, -0.000524
250.1000, 204, 1, 1, 1, 1, 4, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 1, 0, 0, 176, 0.000016, -0.000486
260.1000, 205, 0, 1, 2, 0, 4, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 1, 0, 0, 176, 0.000016, -0.000405
