timestamp\y, 1, 2, 3, 4, 5, Net X Velocity, Net Y Velocity
0.0000, 5, 5, 5, 5, 0, -0.430920, 0.303307
0.1000, 5, 5, 5, 5, 0, -0.436345, 0.565806
0.2000, 5, 5, 5, 5, 0, -0.438667, 0.732625
0.3000, 5, 5, 5, 5, 0, -0.398628, 0.803399
0.4000, 5, 5, 5, 5, 0, -0.279715, 0.878992
0.5000, 4, 5, 4, 3, 4, -0.277255, 0.889040
0.6000, 3, 5, 4, 3, 5, -0.321825, 0.887283
0.7000, 1, 6, 5, 3, 5, -0.287262, 0.915462
0.8000, 1, 5, 4, 5, 5, -0.186535, 0.922401
0.9000, 1, 5, 4, 5, 5, -0.071794, 0.937153
1.0000, 1, 5, 4, 5, 5, -0.029413, 0.922711
1.1000, 0, 6, 4, 5, 5, -0.020907, 0.818711
1.2000, 0, 5, 5, 5, 5, -0.019536, 0.722470
1.3000, 0, 5, 5, 5, 5, 0.021642, 0.726574
1.4000, 0, 5, 5, 5, 5, 0.110667, 0.734022
1.5000, 0, 4, 6, 3, 7, 0.164082, 0.727726
1.6000, 0, 3, 5, 5, 7, 0.107591, 0.670355
1.7000, 0, 2, 5, 5, 8, 0.007018, 0.607112
1.8000, 0, 1, 5, 5, 9, 0.057586, 0.647966
1.9000, 0, 2, 4, 4, 10, 0.175012, 0.585769
2.0000, 0, 2, 4, 4, 10, 0.227797, 0.448192
2.1000, 0, 2, 4, 4, 10, 0.365333, 0.420810
2.2000, 0, 2, 3, 5, 10, 0.367621, 0.400017
2.3000, 0, 2, 3, 5, 10, 0.323516, 0.283198
2.4000, 0, 2, 3, 5, 10, 0.352759, 0.228810
2.5000, 0, 2, 3, 5, 10, 0.425363, 0.281859
2.6000, 0, 2, 3, 3, 12, 0.333918, 0.264209
2.7000, 0, 2, 2, 5, 11, 0.416718, 0.138069
2.8000, 0, 2, 2, 3, 13, 0.517270, 0.105325
2.9000, 0, 2, 2, 3, 13, 0.649662, -0.031904
3.0000, 2, 0, 2, 3, 13, 0.667354, -0.231995
3.1000, 2, 0, 3, 2, 13, 0.458587, -0.353782
3.2000, 2, 0, 3, 5, 10, 0.527327, -0.476477
3.3000, 2, 0, 3, 5, 10, 0.574726, -0.539734
3.4000, 2, 0, 3, 6, 9, 0.486719, -0.566292
3.5000, 2, 0, 3, 6, 9, 0.327351, -0.599547
3.6000, 2, 1, 2, 6, 9, 0.229352, -0.753423
