timestamp\y, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, Net X Velocity, Net Y Velocity
400.0000, 192, 0, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 197, -0.000050, 0.000187
410.0000, 192, 0, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 1, 197, -0.000050, 0.000187
420.0000, 192, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 197, -0.000050, 0.000187
430.0000, 192, 1, 1, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 198, -0.000028, 0.000187
440.0000, 192, 1, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 198, -0.000028, 0.000187
450.0000, 192, 2, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 198, -0.000028, 0.000113
460.0000, 193, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 198, -0.000028, 0.000113
470.0000, 193, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 198, -0.000028, 0.000113
480.0000, 193, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 199, -0.000028, 0.000183
490.0000, 194, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 199, -0.000028, 0.000102
500.0000, 194, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 199, -0.000028, 0.000102
510.0000, 194, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 199, -0.000028, 0.000170
520.0000, 194, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 200, -0.000028, 0.000170
530.0000, 194, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 200, -0.000028, 0.000162
540.0000, 194, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 200, -0.000028, 0.000088
550.0000, 194, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 200, -0.000028, 0.000088
560.0000, 194, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 201, -0.000028, 0.000088
570.0000, 194, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 201, -0.000028, 0.000088
580.0000, 194, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 201, -0.000028, 0.000088
590.0000, 194, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 201, -0.000028, 0.000088
600.0000, 194, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 202, -0.000028, 0.000060
610.0000, 194, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 202, -0.000028, 0.000060
620.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 202, -0.000028, 0.000011
630.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 202, -0.000028, 0.000011
640.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 202, -0.000028, 0.000064
650.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 202, -0.000028, 0.000064
660.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 202, -0.000015, 0.000064
670.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 202, -0.000015, 0.000064
680.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 202, -0.000015, 0.000064
690.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 202, -0.000015, 0.000064
700.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 202, -0.000015, 0.000064
710.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 202, -0.000009, 0.000064
720.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 202, -0.000009, 0.000064
730.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 202, -0.000009, 0.000064
740.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 202, -0.000009, 0.000064
750.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 202, -0.000009, 0.000064
760.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 202, -0.000009, 0.000064
770.0000, 195, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 202, 0.000000, 0.000064
