timestamp\y, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, Net X Velocity, Net Y Velocity
0.0000, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0.017387, -0.066433
10.1000, 78, 6, 15, 12, 10, 17, 18, 15, 13, 21, 16, 17, 22, 21, 14, 10, 18, 12, 8, 57, 0.003795, -0.020353
20.0000, 121, 15, 5, 13, 11, 9, 10, 16, 6, 7, 9, 7, 13, 10, 11, 12, 9, 9, 12, 95, -0.000668, -0.021568
30.0000, 156, 10, 5, 2, 11, 3, 9, 9, 5, 5, 8, 3, 7, 6, 8, 8, 5, 9, 13, 118, 0.000142, -0.001559
40.0000, 175, 1, 4, 4, 6, 8, 3, 4, 5, 8, 5, 2, 6, 3, 5, 6, 5, 4, 8, 138, -0.000293, 0.000097
50.0000, 180, 5, 3, 4, 3, 4, 6, 2, 7, 2, 5, 3, 4, 4, 4, 4, 2, 6, 4, 148, -0.000116, -0.001447
60.0000, 189, 3, 2, 2, 2, 3, 4, 7, 1, 3, 4, 3, 3, 4, 3, 4, 2, 3, 3, 155, -0.000082, -0.001254
70.0000, 195, 1, 1, 0, 3, 4, 2, 4, 4, 4, 3, 1, 3, 2, 2, 4, 4, 4, 1, 158, -0.000198, 0.000059
80.1000, 197, 1, 1, 0, 4, 2, 2, 3, 5, 2, 4, 2, 2, 1, 0, 4, 5, 2, 4, 159, -0.000096, 0.001514
90.1000, 199, 0, 0, 2, 4, 1, 1, 4, 3, 2, 3, 5, 0, 1, 1, 3, 2, 4, 3, 162, -0.000028, 0.000535
